nct_id,start_year,disease_area,phase,status,intervention_type,lead_sponsor,enrollment,duration_months,ai_designed,multinational,has_biomarker
NCT2013000000,2019,Other,Phase 2,Withdrawn,Biological,AstraZeneca,46,29,False,True,True
NCT2013000001,2016,Diabetes/Metabolic,Phase 1,"Active, not recruiting",Drug,Bristol-Myers Squibb,63,19,False,False,True
NCT2013000002,2023,Diabetes/Metabolic,Phase 4,Recruiting,Behavioral,Biotech Startup,31,54,False,True,False
NCT2013000003,2020,Infectious Disease,Phase 4,"Active, not recruiting",Drug,AbbVie,252,10,False,True,True
NCT2013000004,2017,Neurology,N/A,Completed,Behavioral,Sanofi,205,17,False,False,False
NCT2013000005,2019,Oncology,Phase 1,"Active, not recruiting",Drug,University Hospital,41,19,False,False,False
NCT2013000006,2022,Immunology/Autoimmune,Phase 1,Recruiting,Drug,Amgen,9,22,False,True,True
NCT2013000007,2015,Neurology,Phase 1,Terminated,Behavioral,Boehringer Ingelheim,55,37,False,True,True
NCT2013000008,2019,Mental Health,Phase 1,Completed,Drug,GSK,34,14,False,True,False
NCT2013000009,2023,Immunology/Autoimmune,Phase 1,Recruiting,Drug,GSK,36,25,False,True,True
NCT2013000010,2023,Diabetes/Metabolic,Phase 2,Withdrawn,Drug,Gilead,46,27,False,False,True
NCT2013000011,2020,Infectious Disease,Phase 3,Terminated,Biological,Pfizer,393,54,False,False,False
NCT2013000012,2017,Diabetes/Metabolic,Phase 1,Completed,Biological,Biotech Startup,17,45,True,False,True
NCT2013000013,2016,Diabetes/Metabolic,Phase 4,Unknown,Drug,Bristol-Myers Squibb,208,41,False,False,False
NCT2013000014,2020,Oncology,Phase 3,Recruiting,Drug,Bristol-Myers Squibb,1132,17,False,False,False
NCT2013000015,2020,Cardiovascular,Phase 2,Completed,Drug,Amgen,30,17,False,False,False
NCT2013000016,2015,Neurology,Phase 2,Completed,Drug,Eli Lilly,93,35,False,False,False
NCT2013000017,2018,Diabetes/Metabolic,Phase 2,Withdrawn,Drug,AstraZeneca,144,26,True,False,False
NCT2013000018,2017,Oncology,Phase 1,Recruiting,Drug,Merck,29,26,False,False,False
NCT2013000019,2014,Oncology,Phase 2,Recruiting,Drug,AstraZeneca,259,29,False,True,False
NCT2013000020,2020,Oncology,Phase 3,Withdrawn,Drug,NIH,458,12,False,True,False
NCT2013000021,2024,Rare Disease,N/A,Completed,Drug,Amgen,495,24,False,False,False
NCT2013000022,2018,Oncology,Phase 2,Terminated,Drug,Gilead,151,14,False,False,False
NCT2013000023,2014,Immunology/Autoimmune,Phase 2,Completed,Drug,Pfizer,129,13,False,False,False
NCT2013000024,2024,Neurology,Phase 1,Withdrawn,Drug,Gilead,79,8,False,False,False
NCT2013000025,2017,Infectious Disease,Phase 3,Completed,Drug,Novartis,513,15,False,True,True
NCT2013000026,2013,Neurology,Phase 1,Completed,Behavioral,Johnson & Johnson,23,18,False,False,False
NCT2013000027,2024,Diabetes/Metabolic,Phase 2,Withdrawn,Biological,Boehringer Ingelheim,39,10,False,False,True
NCT2013000028,2022,Neurology,Phase 2,Completed,Drug,University Hospital,44,27,False,False,False
NCT2013000029,2018,Oncology,Phase 4,Withdrawn,Procedure,Bayer,87,9,False,False,False
NCT2013000030,2024,Immunology/Autoimmune,Phase 1,Terminated,Device,Pfizer,24,24,False,True,True
NCT2013000031,2021,Cardiovascular,Phase 1,Recruiting,Drug,Amgen,34,28,False,False,False
NCT2013000032,2013,Mental Health,N/A,Completed,Behavioral,Eli Lilly,101,25,False,False,False
NCT2013000033,2023,Cardiovascular,Phase 3,Completed,Biological,Bristol-Myers Squibb,268,17,False,False,False
NCT2013000034,2023,Respiratory,Phase 1,Completed,Drug,Eli Lilly,145,17,True,False,True
NCT2013000035,2022,Neurology,Phase 1,Completed,Drug,Sanofi,44,20,True,False,True
NCT2013000036,2024,Oncology,Phase 2,Terminated,Drug,Novartis,45,24,False,True,False
NCT2013000037,2024,Oncology,N/A,Completed,Drug,Gilead,84,16,True,False,False
NCT2013000038,2015,Infectious Disease,Phase 3,Recruiting,Drug,Roche,118,31,False,False,True
NCT2013000039,2024,Diabetes/Metabolic,Phase 2,Terminated,Drug,Sanofi,209,17,False,True,True
NCT2013000040,2019,Oncology,Phase 3,Completed,Drug,Biotech Startup,440,11,False,False,False
NCT2013000041,2016,Immunology/Autoimmune,Phase 1,Completed,Drug,AstraZeneca,10,56,False,False,False
NCT2013000042,2021,Respiratory,Phase 2,Unknown,Other,NIH,48,6,False,False,False
NCT2013000043,2015,Infectious Disease,Phase 1,"Active, not recruiting",Procedure,Amgen,31,31,False,True,False
NCT2013000044,2017,Diabetes/Metabolic,Phase 1,Completed,Drug,AbbVie,34,47,True,True,True
NCT2013000045,2015,Cardiovascular,N/A,Completed,Device,Gilead,66,38,False,True,True
NCT2013000046,2019,Oncology,Phase 3,Completed,Other,Merck,215,31,False,False,True
NCT2013000047,2017,Respiratory,Phase 1,"Active, not recruiting",Biological,Pfizer,39,12,False,False,True
NCT2013000048,2021,Respiratory,N/A,Terminated,Biological,Roche,636,49,False,False,True
NCT2013000049,2019,Infectious Disease,Phase 2,Unknown,Drug,Roche,26,7,False,False,False
NCT2013000050,2014,Immunology/Autoimmune,Phase 2,Unknown,Drug,University Hospital,111,22,False,False,False
NCT2013000051,2016,Infectious Disease,Phase 3,Withdrawn,Procedure,Pfizer,175,25,False,True,False
NCT2013000052,2021,Immunology/Autoimmune,Phase 3,"Active, not recruiting",Biological,Boehringer Ingelheim,413,9,False,True,False
NCT2013000053,2024,Respiratory,Phase 3,Completed,Drug,Pfizer,524,31,False,False,False
NCT2013000054,2014,Oncology,Phase 1,Recruiting,Device,Amgen,71,16,False,False,False
